OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
70600,39035134203,39,035,134203,,,,,6775185.29296875,16750.7654637834
70601,39035134205,39,035,134205,,,,,3185448.796875,9352.32992659924
70602,39035138109,39,035,138109,,,,,7385439.51953125,13640.0387597137
70603,39035140600,39,035,140600,,,22,13.02000046,993642.62890625,5597.83999579042
70604,39035140701,39,035,140701,,,66,13.17000008,1889017.1875,5696.7015645178
70605,39035140800,39,035,140800,,,20,2.01999998,3392727.90234375,7445.8492363813
70606,39035141200,39,035,141200,,,21,2.33999991,2404888.484375,7537.20842436449
70607,39035141400,39,035,141400,,,,,2692152.1171875,7833.15408745323
70608,39035141500,39,035,141500,,,,,1722700,6986.86770958933
70609,39035150100,39,035,150100,,,103,19.25,1568246.16015625,5629.58847233886
70610,39035150300,39,035,150300,,,41,12.85000038,963780.07421875,4787.48840849053
70611,39035134300,39,035,134300,,,,,4785682.63671875,11375.8137222746
70612,39035135104,39,035,135104,,,,,17823446.2578125,19988.6889854585
70622,39035194100,39,035,194100,,,,,31288662.7421875,28717.008645997
70668,39035199100,39,035,199100,,,53,12.13000011,1501166.171875,5614.90010672752
70683,39035150400,39,035,150400,,,27,11.10999966,753088.5625,3771.64544942726
70684,39035151200,39,035,151200,,,128,18,1464203.1953125,6754.85104776132
70685,39035151300,39,035,151300,,,21,2.81999993,2559130.26171875,7140.10955084963
70686,39035151600,39,035,151600,,,82,12.81000042,1574232.40625,5444.79196173963
70687,39035194300,39,035,194300,,,,,18264170.2148438,22036.0681125776
70693,39035152302,39,035,152302,,,53,10.36999989,3044936.76953125,7806.0082609808
70721,39035187104,39,035,187104,,,,,2087698.25390625,6621.29531379458
70764,39035980200,39,035,980200,,,,,1151436.07421875,6474.93628290975
70765,39035980900,39,035,980900,,,,,1964908.41796875,8315.90784146973
70778,39035152400,39,035,152400,,,48,16.15999985,1098500.8203125,4146.29988199977
70779,39035152501,39,035,152501,,,61,8.02999973,2498374.58984375,6471.3227358603
70780,39035152502,39,035,152502,,,64,11.56999969,6426621.80859375,14141.24869903
70781,39035152701,39,035,152701,,,478,30.92000008,1547555.80078125,6222.29556298055
70782,39035153105,39,035,153105,,,,,2910189.00390625,9097.70495191106
70783,39035153106,39,035,153106,,,,,3550348.3984375,9334.97049324514
70863,39035111700,39,035,111700,,,23,8.10000038,709289.18359375,3951.37466835677
70864,39035177606,39,035,177606,,,,,5693069.33203125,11691.2935902811
70865,39035177607,39,035,177607,,,,,5366032.73828125,9502.07505365573
70867,39035119502,39,035,119502,,,85,7.73999977,615751.71484375,4606.03863506391
70868,39035119600,39,035,119600,,,75,13.60999966,2198786.23046875,6279.68279402085
70872,39035121300,39,035,121300,,,54,13.27000046,2369339.453125,6828.22469091008
70873,39035120200,39,035,120200,,,49,8.46000004,1283153.55078125,5799.85762545377
70874,39035120400,39,035,120400,,,53,10.21000004,1646769.5859375,5933.04309220554
70875,39035120801,39,035,120801,,,86,14.5,1101278.4375,4746.22064023394
70876,39035121100,39,035,121100,,,55,13.28999996,1190369.8671875,4436.40937973571
70877,39035121200,39,035,121200,,,49,16.06999969,824026.15625,3797.30471277894
70878,39035121500,39,035,121500,,,77,16.92000008,1566443.77734375,5155.9832811469
70897,39035189108,39,035,189108,,,,,12936382.0859375,20318.3592721733
70898,39035189110,39,035,189110,,,,,11115671.4765625,15444.0887786197
70900,39035189111,39,035,189111,,,,,12719076.3984375,17795.3155770363
70901,39035190502,39,035,190502,,,,,12321634.6523438,29734.6887762004
70902,39035190503,39,035,190503,,,,,3116761.578125,7827.30643730679
70934,39035152102,39,035,152102,,,116,14.55000019,2553133.16015625,7727.51006684546
70964,39035119701,39,035,119701,,,123,26.38999939,939861.14453125,4402.83268185222
70965,39035119800,39,035,119800,,,89,12.59000015,1797929.89453125,6091.73472967104
70966,39035121800,39,035,121800,,,51,23.5,1185174.5546875,4337.75330613852
70967,39035121900,39,035,121900,,,38,18.71999931,1275836.29296875,4777.0550862418
70968,39035187105,39,035,187105,,,,,2220526.55859375,7966.15518456603
70969,39035187106,39,035,187106,,,,,2459571.19921875,6995.1871977402
70970,39035188103,39,035,188103,,,72,20.69000053,2597325.05859375,7239.36213275788
71018,39035152202,39,035,152202,,,126,13.64000034,3984379.76953125,8583.68448414629
71019,39035152301,39,035,152301,,,17,1.80999994,1109125.7734375,6642.08909653891
71035,39035183401,39,035,183401,,,,,2226335.31640625,6869.43850852277
71036,39035189112,39,035,189112,,,,,6523345.41015625,11318.5232102105
71037,39035101101,39,035,101101,,,61,8.51000023,545643.18359375,3535.06772538065
